"ProjectID","EPGeoName","lat","lng","Ward","Constituency","County","Project Cost Yearly Breakdown (KES)","Total Project Cost (KES)","Approval Date ","Start Date (Planned)","Start Date (Actual)","End Date (Planned)","End Date (Actual)","Duration","Duration (Months)","Project Title","Project Description","Project Objectives","NG Programme","Vision 2030 Flagship Ministry","Vision 2030 Flagship Project/Programme","Implementing Agency","Implementation Status","MTEF Sector","Work Plan Progress (%) "
"2012/053906","West Pokot",4.6435120142,35.2613592016,"CHEPARERIA","POKOT SOUTH","WEST POKOT",1756000000,2634000000,"03/06/2012 12:00:00 AM","03/29/2013 12:00:00 AM",,"11/30/2017 12:00:00 AM",,"56 months 1 day","56 months","Konza - Machakos -Kajjiado Namanga Transmission line & Substations","Construction of 132kV  transmission line and associated sub-stations","Enhance power connection and reliability in the region","021300 - Power  Transmission and Distribution","Unspecified","Unspecified","1151 - Ministry of Energy & Petroleum","Ongoing","Energy, Infrastructure and ICT",22.04
"2012/053979","Unspecified",4.453692,35.482992,,"TURKANA NORTH","TURKANA",15625000,39062500,"01/05/2009 12:00:00 AM","01/26/2009 12:00:00 AM",,"12/31/2015 12:00:00 AM",,"83 months 5 days","83 months","NOKET (Girls Scholarships)","Provision of scholarships for girls especiallly in the ASAL areas.","Reduce the gender disparity especially in ASAL districts. Increase attendance retention and transition of girls especially in the ASAL areass","071000 - Public Service Transformation","Unspecified","Unspecified","103 - Ministry of Devolution and Planning; 1032 - State Department for Devolution","Ongoing","Public Administration and International Relations (PAIR)",0
"2014/054754","Unspecified",4.453692,35.482992,,"TURKANA NORTH","TURKANA",30803571429,30803571429,"07/10/2013 12:00:00 AM","07/01/2014 12:00:00 AM",,"06/30/2019 12:00:00 AM",,"59 months 29 days","59 months","Food Security And Drought Resilience Programme","CONTRIBUTION TO THE IMPROVEMENT OF LIVEELIHOOD OF THE PASTORAL SYSTEMS","TO SUSTAIN THE LIVELIHOOD OF KENYANS IN N KENYA","010800 - Crop Development and Management","Unspecified","Unspecified","1161 - State Department for Agriculture","Planned","Agriculture, Rural and Urban Development (ARUD)",0
"2014/054671","Unspecified",4.453692,35.482992,,"TURKANA NORTH","TURKANA",,,,,,,,,,,,,,,,,,,0
"2010/052263","Nation Wide - Kenya",3.9688041142,40.3744705529,"BANISSA","BANISSA","MANDERA",2142000000,2142000000,"02/23/2009 12:00:00 AM","07/01/2010 12:00:00 AM",,"06/30/2016 12:00:00 AM",,"71 months 29 days","71 months","Community Empowerement And Institutional Support Project (CEISP)","The project comprises of two components; 
i) Capacity building component which aims at developing the capacity of communities and other local level stakeholders to make better, more focused and equitable use of resources made available through Devolved f","The project objective is to help empower poor communities to access socio-economic services in order to reduce poverty and to improve the management of local socio-economic development.","070600 - Economic Policy and National Planning","Unspecified","Unspecified","103 - Ministry of Devolution and Planning; 1031 - State Department for Planning","Ongoing","Public Administration and International Relations (PAIR)",0
"2013/054093","Kenya",3.9485063866,41.659183086,"KHALALIO","MANDERA EAST","MANDERA",117500000,130500000,"03/22/2013 12:00:00 AM","02/01/2013 12:00:00 AM",,"06/30/2018 12:00:00 AM",,"64 months 29 days","64 months","Economic Empowerment Programme","The overall outcome of the programme shall be (1) enhance and mainstream inclusivenessof the poor and vulnerable in istitutional and policy framework and private sector participation in job-rich and pro-poor growth, and (2) empower the poor and vulnerabl","The overall outcome of the programme shall be (1) enhance and mainstream inclusivenessof the poor and vulnerable in istitutional and policy framework and private sector participation in job-rich and pro-poor growth, and (2) empower the poor and vulnerabl","070600 - Economic Policy and National Planning","Unspecified","Unspecified","103 - Ministry of Devolution and Planning; 1031 - State Department for Planning","Planned","Public Administration and International Relations (PAIR)",0
"2012/053979","Unspecified",3.424682,40.147904,,"MANDERA WEST","MANDERA",15625000,39062500,"01/05/2009 12:00:00 AM","01/26/2009 12:00:00 AM",,"12/31/2015 12:00:00 AM",,"83 months 5 days","83 months","NOKET (Girls Scholarships)","Provision of scholarships for girls especiallly in the ASAL areas.","Reduce the gender disparity especially in ASAL districts. Increase attendance retention and transition of girls especially in the ASAL areass","071000 - Public Service Transformation","Unspecified","Unspecified","103 - Ministry of Devolution and Planning; 1032 - State Department for Devolution","Ongoing","Public Administration and International Relations (PAIR)",0
"2010/052425","Unspecified",3.424682,40.147904,,"MANDERA WEST","MANDERA",,,,,,,,,,,,,,,,,,,0
"2014/055082","Unspecified",3.424682,40.147904,,"MANDERA WEST","MANDERA",,,,,,,,,,,,,,,,,,,0
"2012/053976","Kenya",3.377957,37.38532,,"NORTH HORR","MARSABIT",10937500,27343750,"01/05/2009 12:00:00 AM","01/26/2009 12:00:00 AM",,"12/31/2015 12:00:00 AM",,"83 months 5 days","83 months","Peace Education","Training of youth on peace and conflict resolution.","Percentage of youth and communities trained on peace building and conflict resolution","050100 - Primary Education","Unspecified","Unspecified","106 - Ministry of Education; 1061 - State Department for Education","Ongoing","Education",0
"2010/052263","Nation Wide - Kenya",3.3532296671,35.961866601,"KANG'ATOTHA","TURKANA CENTRAL","TURKANA",2142000000,2142000000,"02/23/2009 12:00:00 AM","07/01/2010 12:00:00 AM",,"06/30/2016 12:00:00 AM",,"71 months 29 days","71 months","Community Empowerement And Institutional Support Project (CEISP)","The project comprises of two components; 
i) Capacity building component which aims at developing the capacity of communities and other local level stakeholders to make better, more focused and equitable use of resources made available through Devolved f","The project objective is to help empower poor communities to access socio-economic services in order to reduce poverty and to improve the management of local socio-economic development.","070600 - Economic Policy and National Planning","Unspecified","Unspecified","103 - Ministry of Devolution and Planning; 1031 - State Department for Planning","Ongoing","Public Administration and International Relations (PAIR)",0
"2014/054749","Unspecified",3.3171207078,39.4451371787,"BUTE","WAJIR NORTH","WAJIR",,,,,,,,,,,,,,,,,,,0
"2014/055058","Unspecified",3.163969,35.912477,,"TURKANA CENTRAL","TURKANA",,,,,,,,,,,,,,,,,,,0
"2014/055096","Unspecified",3.163969,35.912477,,"TURKANA CENTRAL","TURKANA",,,,,,,,,,,,,,,,,,,0
"2012/053948","Unspecified",3.138899,38.823833,,"MOYALE","MARSABIT",165000000,880000000,"12/14/2011 12:00:00 AM","07/01/2012 12:00:00 AM",,"12/31/2017 12:00:00 AM",,"65 months 30 days","65 months","Conservation Of Biodiversity In Northern Kenya","The Conservation of Biodiversity in Northern Kenya Project is meant to ensure ecosystem conservation, development of physical infrastructure within the Marsabit National Park and natural resource management are realized and at the same time improve pover","The objective of the project is to conserve biodiversity in order to ensure continuous generation of revenue for the economic growth, poverty alleviation and sustainable development.","100300 - Natural Resources Conservation and Management","Ministry of Environment Water and Natural Resources","Premium Parks Initiative","110 - Ministry of Environment Water and Natural Resources","Planned","Environmental Protection, Water and Natural Resources",0
"2012/053979","Unspecified",3.138899,38.823833,,"MOYALE","MARSABIT",15625000,39062500,"01/05/2009 12:00:00 AM","01/26/2009 12:00:00 AM",,"12/31/2015 12:00:00 AM",,"83 months 5 days","83 months","NOKET (Girls Scholarships)","Provision of scholarships for girls especiallly in the ASAL areas.","Reduce the gender disparity especially in ASAL districts. Increase attendance retention and transition of girls especially in the ASAL areass","071000 - Public Service Transformation","Unspecified","Unspecified","103 - Ministry of Devolution and Planning; 1032 - State Department for Devolution","Ongoing","Public Administration and International Relations (PAIR)",0
